STUDYID,DOMAIN,USUBJID,EXSEQ,EXTRT,EXDOSE,EXDOSU,EXDOSFRM,EXDOSFRQ,EXROUTE,EXLOT,EXTRTV,EXVAMT,EXVAMTU,EXSTDTC,EXSTDY
20214751,EX,20214751-151,1,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-09,1
20214751,EX,20214751-151,2,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-10,2
20214751,EX,20214751-151,3,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-11,3
20214751,EX,20214751-151,4,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-12,4
20214751,EX,20214751-151,5,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-13,5
20214751,EX,20214751-151,6,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-14,6
20214751,EX,20214751-151,7,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-15,7
20214751,EX,20214751-151,8,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-16,8
20214751,EX,20214751-151,9,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-17,9
20214751,EX,20214751-151,10,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-18,10
20214751,EX,20214751-151,11,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-19,11
20214751,EX,20214751-151,12,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-20,12
20214751,EX,20214751-151,13,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-21,13
20214751,EX,20214751-151,14,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-22,14
20214751,EX,20214751-151,15,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-23,15
20214751,EX,20214751-151,16,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-24,16
20214751,EX,20214751-151,17,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-25,17
20214751,EX,20214751-151,18,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-26,18
20214751,EX,20214751-151,19,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-27,19
20214751,EX,20214751-151,20,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-28,20
20214751,EX,20214751-151,21,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-29,21
20214751,EX,20214751-151,22,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-30,22
20214751,EX,20214751-151,23,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-31,23
20214751,EX,20214751-151,24,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-01,24
20214751,EX,20214751-151,25,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-02,25
20214751,EX,20214751-151,26,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-03,26
20214751,EX,20214751-151,27,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-04,27
20214751,EX,20214751-151,28,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-05,28
20214751,EX,20214751-151,29,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-06,29
20214751,EX,20214751-151,30,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-07,30
20214751,EX,20214751-151,31,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-08,31
20214751,EX,20214751-151,32,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-09,32
20214751,EX,20214751-151,33,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-10,33
20214751,EX,20214751-151,34,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-11,34
20214751,EX,20214751-151,35,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-12,35
20214751,EX,20214751-151,36,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-13,36
20214751,EX,20214751-151,37,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-14,37
20214751,EX,20214751-151,38,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-15,38
20214751,EX,20214751-151,39,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-16,39
20214751,EX,20214751-151,40,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-17,40
20214751,EX,20214751-151,41,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-18,41
20214751,EX,20214751-151,42,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-19,42
20214751,EX,20214751-151,43,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-20,43
20214751,EX,20214751-151,44,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-21,44
20214751,EX,20214751-151,45,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-22,45
20214751,EX,20214751-152,46,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-09,1
20214751,EX,20214751-152,47,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-10,2
20214751,EX,20214751-152,48,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-11,3
20214751,EX,20214751-152,49,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-12,4
20214751,EX,20214751-152,50,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-13,5
20214751,EX,20214751-152,51,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-14,6
20214751,EX,20214751-152,52,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-15,7
20214751,EX,20214751-152,53,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-16,8
20214751,EX,20214751-152,54,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-17,9
20214751,EX,20214751-152,55,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-18,10
20214751,EX,20214751-152,56,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-19,11
20214751,EX,20214751-152,57,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-20,12
20214751,EX,20214751-152,58,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-21,13
20214751,EX,20214751-152,59,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-22,14
20214751,EX,20214751-152,60,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-23,15
20214751,EX,20214751-152,61,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-24,16
20214751,EX,20214751-152,62,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-25,17
20214751,EX,20214751-152,63,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-26,18
20214751,EX,20214751-152,64,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-27,19
20214751,EX,20214751-152,65,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-28,20
20214751,EX,20214751-152,66,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-29,21
20214751,EX,20214751-152,67,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-30,22
20214751,EX,20214751-152,68,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-31,23
20214751,EX,20214751-152,69,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-01,24
20214751,EX,20214751-152,70,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-02,25
20214751,EX,20214751-152,71,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-03,26
20214751,EX,20214751-152,72,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-04,27
20214751,EX,20214751-152,73,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-05,28
20214751,EX,20214751-152,74,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-06,29
20214751,EX,20214751-152,75,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-07,30
20214751,EX,20214751-152,76,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-08,31
20214751,EX,20214751-152,77,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-09,32
20214751,EX,20214751-152,78,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-10,33
20214751,EX,20214751-152,79,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-11,34
20214751,EX,20214751-152,80,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-12,35
20214751,EX,20214751-152,81,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-13,36
20214751,EX,20214751-152,82,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-14,37
20214751,EX,20214751-152,83,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-15,38
20214751,EX,20214751-152,84,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-16,39
20214751,EX,20214751-152,85,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-17,40
20214751,EX,20214751-152,86,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-18,41
20214751,EX,20214751-152,87,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-19,42
20214751,EX,20214751-152,88,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-20,43
20214751,EX,20214751-152,89,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-21,44
20214751,EX,20214751-152,90,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-11-22,45
20214751,EX,20214751-153,91,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-09,1
20214751,EX,20214751-153,92,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-10,2
20214751,EX,20214751-153,93,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-11,3
20214751,EX,20214751-153,94,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-12,4
20214751,EX,20214751-153,95,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-13,5
20214751,EX,20214751-153,96,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-14,6
20214751,EX,20214751-153,97,ACT-709478,0,mg/kg,SOLUTION,QD,ORAL GAVAGE,,Methylcellulose 0.5% / polyoxyethylene sorbitan monooleate (Tween 80) 0.5% / water (w/v/v),10,mL/kg,2018-10-15,7
